q_1,dq_1,q_2,dq_2,ddq_1,ddq_2,output_1,output_2
0.640325,0.041207,0.100172,-0.199802,-0.657888,-0.544083,-1.808324,0.000000
0.641033,0.030311,0.096046,-0.213767,-0.431871,-0.851472,-1.335256,0.000000
0.641567,0.023905,0.091580,-0.233781,-0.209940,-1.146815,-0.868951,0.000000
0.642018,0.021840,0.086657,-0.259469,0.000974,-1.416686,-0.422723,0.000000
0.642468,0.023826,0.081168,-0.290192,0.194186,-1.648218,-0.009422,0.000000
0.642995,0.029447,0.075022,-0.325063,0.363448,-1.829495,0.358939,0.000000
0.643666,0.038167,0.068145,-0.362966,0.503139,-1.949932,0.671535,0.000000
0.644538,0.049344,0.060491,-0.402595,0.608435,-2.000634,0.919056,0.000000
0.645652,0.062249,0.052040,-0.442480,0.675458,-1.974706,1.093981,0.000000
0.647034,0.076088,0.042801,-0.481041,0.701413,-1.867532,1.190814,0.000000
0.648696,0.090021,0.032818,-0.516626,0.684685,-1.677003,1.206254,0.000000
0.650630,0.103188,0.022167,-0.547568,0.624918,-1.403674,1.139303,0.000000
0.652813,0.114736,0.010957,-0.572242,0.523048,-1.050838,0.991311,0.000000
0.655203,0.123844,-0.000671,-0.589111,0.381295,-0.624525,0.765950,0.000000
0.657745,0.129745,-0.012546,-0.596790,0.203115,-0.133375,0.469118,0.000000
0.660367,0.131756,-0.024473,-0.594087,-0.006899,0.411589,0.108784,0.000000
0.662985,0.129294,-0.036234,-0.580054,-0.243154,0.997286,-0.305238,0.000000
0.665506,0.121897,-0.047595,-0.554022,-0.499239,1.609010,-0.761560,0.000000
0.667826,0.109239,-0.058312,-0.515626,-0.768133,2.230913,-1.247548,0.000000
0.669839,0.091136,-0.068137,-0.464827,-1.042427,2.846533,-1.749677,0.000000
0.671435,0.067556,-0.076825,-0.401917,-1.314558,3.439315,-2.253924,0.000000
0.672505,0.038618,-0.084137,-0.327515,-1.577026,3.993103,-2.746167,0.000000
0.672946,0.004588,-0.089855,-0.242555,-1.822605,4.492570,-3.212596,0.000000
0.672658,-0.034128,-0.093777,-0.148268,-2.044525,4.923583,-3.640109,0.000000
0.671553,-0.076994,-0.095733,-0.046153,-2.236622,5.273484,-4.016694,0.000000
0.669555,-0.123358,-0.095583,0.062057,-2.393483,5.531331,-4.331773,0.000000
0.666600,-0.172468,-0.093223,0.174426,-2.510548,5.688071,-4.576509,0.000000
0.662643,-0.223491,-0.088592,0.288859,-2.584218,5.736724,-4.744062,0.000000
0.657654,-0.275530,-0.081670,0.403142,-2.611941,5.672543,-4.829784,0.000000
0.651621,-0.327652,-0.072483,0.514992,-2.592299,5.493205,-4.831350,0.000000
0.644554,-0.378905,-0.061102,0.622104,-2.525082,5.199009,-4.748824,0.000000
0.636477,-0.428345,-0.047645,0.722207,-2.411357,4.793070,-4.584650,0.000000
0.627438,-0.475064,-0.032275,0.813122,-2.253502,4.281481,-4.343578,0.000000
0.617499,-0.518215,-0.015195,0.892822,-2.055218,3.673398,-4.032520,0.000000
0.606738,-0.557037,0.003351,0.959495,-1.821484,2.980997,-3.660340,0.000000
0.595250,-0.590879,0.023088,1.011599,-1.558445,2.219268,-3.237596,0.000000
0.583140,-0.619226,0.043710,1.047919,-1.273243,1.405617,-2.776222,0.000000
0.570520,-0.641714,0.064893,1.067606,-0.973773,0.559277,-2.289176,0.000000
0.557512,-0.658138,0.086300,1.070208,-0.668381,-0.299433,-1.790064,0.000000
0.544235,-0.668466,0.107587,1.055683,-0.365536,-1.149958,-1.292735,0.000000
0.530813,-0.672831,0.128416,1.024397,-0.073492,-1.972351,-0.810879,0.000000
0.517360,-0.671529,0.148456,0.977100,0.200036,-2.748083,-0.357631,0.000000
0.503987,-0.665000,0.167400,0.914895,0.448138,-3.460684,0.054813,0.000000
0.490791,-0.653813,0.184962,0.839188,0.664922,-4.096219,0.415546,0.000000
0.477861,-0.638643,0.200889,0.751635,0.845651,-4.643557,0.715256,0.000000
0.465267,-0.620251,0.214961,0.654089,0.986813,-5.094442,0.946498,0.000000
0.453067,-0.599450,0.226999,0.548537,1.086136,-5.443425,1.103890,0.000000
0.441299,-0.577091,0.236863,0.437050,1.142549,-5.687677,1.184265,0.000000
0.429988,-0.554034,0.244455,0.321732,1.156127,-5.826746,1.186748,0.000000
0.419137,-0.531124,0.249720,0.204671,1.128006,-5.862321,1.112765,0.000000
0.408736,-0.509178,0.252644,0.087905,1.060298,-5.797992,0.965986,0.000000
0.398758,-0.488957,0.253252,-0.026618,0.956008,-5.639068,0.752207,0.000000
0.389162,-0.471156,0.251607,-0.137072,0.818944,-5.392431,0.479164,0.000000
0.379892,-0.456387,0.247807,-0.241785,0.653637,-5.066421,0.156293,0.000000
0.370883,-0.445165,0.241983,-0.339265,0.465249,-4.670751,-0.205553,0.000000
0.362059,-0.437893,0.234293,-0.428224,0.259479,-4.216395,-0.594434,0.000000
0.353339,-0.434861,0.224918,-0.507610,0.042453,-3.715458,-0.997671,0.000000
0.344635,-0.436228,0.214058,-0.576619,-0.179407,-3.180998,-1.402225,0.000000
0.335860,-0.442025,0.201926,-0.634718,-0.399528,-2.626754,-1.795073,0.000000
