q_1,dq_1,ddq_1,output_1
2.757322,1.075760,-6.787810,-0.118526
2.777313,0.914606,-9.382603,-0.640347
2.793540,0.698484,-12.273156,-1.205405
2.804850,0.422180,-15.388418,-1.797506
2.810001,0.081943,-18.654102,-2.399649
2.807686,-0.324485,-21.994959,-2.994565
2.796575,-0.797862,-25.336831,-3.565267
2.775330,-1.337491,-28.608615,-4.095579
2.742647,-1.941293,-31.743575,-4.570643
2.697273,-2.605910,-34.680059,-4.977380
2.638035,-3.326794,-37.361194,-5.304886
2.563863,-4.098297,-39.733339,-5.544761
2.473810,-4.913713,-41.743318,-5.691356
2.367073,-5.765242,-43.334347,-5.741929
2.243020,-6.643861,-44.441253,-5.696708
2.101208,-7.539145,-44.986034,-5.558857
1.941423,-8.438940,-44.875150,-5.334355
1.763715,-9.329080,-44.001017,-5.031779
1.568433,-10.193136,-42.250025,-4.662013
1.356285,-11.012508,-39.519057,-4.237882
1.128365,-11.766925,-35.740894,-3.773732
0.886181,-12.435240,-30.915507,-3.284960
0.631669,-12.997119,-25.140774,-2.787520
0.367120,-13.435869,-18.631913,-2.297416
0.095133,-13.739748,-11.720837,-1.830197
-0.181541,-13.904820,-4.828472,-1.400471
-0.460166,-13.936051,1.586221,-1.021457
-0.738183,-13.847483,7.088295,-0.704584
-1.013410,-13.660996,11.324429,-0.459152
-1.284156,-13.404517,14.060321,-0.292066
-1.549333,-13.109305,15.192668,-0.207642
-1.808484,-12.807412,14.737489,-0.207509
-2.061791,-12.529675,12.804092,-0.290590
-2.310019,-12.303969,9.564950,-0.453164
-2.554458,-12.154390,5.229599,-0.689028
-2.796838,-12.100579,0.027327,-0.989715
-3.039220,-12.157458,-5.800208,-1.344793
2.999246,-12.335050,-11.998536,-1.742225
2.749725,-12.638051,-18.292984,-2.168761
2.492895,-13.065390,-24.379920,-2.610375
2.226328,-13.609615,-29.920578,-3.052717
1.947826,-14.256110,-34.543652,-3.481567
1.655549,-14.982676,-37.865071,-3.883276
1.348181,-15.759652,-39.530918,-4.245188
1.025065,-16.551174,-39.286346,-4.556019
0.686301,-17.317818,-37.061719,-4.806188
0.332772,-18.021647,-33.052565,-4.988089
-0.033934,-18.631317,-27.758028,-5.096294
-0.411726,-19.128466,-21.944023,-5.127689
-0.798309,-19.511693,-16.521212,-5.081528
-1.191543,-19.797808,-12.364106,-4.959413
-1.589787,-20.019111,-10.126318,-4.765207
-1.992157,-20.217757,-10.107096,-4.504863
-2.398638,-20.437537,-12.196480,-4.186208
-2.810057,-20.716401,-15.892915,-3.818657
3.055331,-21.078532,-20.369132,-3.412889
2.629392,-21.529352,-24.571369,-2.980493
2.193672,-22.051902,-27.355016,-2.533585
1.747094,-22.607142,-27.676705,-2.084424
1.289550,-23.137758,-24.846640,-1.645025
0.822176,-23.579298,-18.793994,-1.226792
0.347374,-23.872705,-10.233708,-0.840182
-0.131491,-23.981378,-0.602965,-0.494398
-0.610619,-23.901844,8.279477,-0.197136
