t,q_1,dq_1,q2,dq2,ddq1,ddq2,output_1,output_2,mass_matrix_11,mass_matrix_12,mass_matrix_22
1.280000,0.362639,0.293384,-2.259031,-2.711465,1.687829,14.415001,3.176304,0.000000,2.500000,-0.190552,0.180000
1.300000,0.368856,0.328882,-2.310394,-2.425669,1.851164,14.157842,3.069228,0.000000,2.500000,-0.202197,0.180000
1.320000,0.375812,0.367017,-2.356095,-2.145403,1.952604,13.863284,2.917445,0.000000,2.500000,-0.212111,0.180000
1.340000,0.383547,0.406612,-2.396251,-1.871360,1.998087,13.536118,2.723625,0.000000,2.500000,-0.220457,0.180000
1.360000,0.392079,0.446612,-2.430994,-1.604122,1.994267,13.184228,2.491227,0.000000,2.500000,-0.227392,0.180000
1.380000,0.401408,0.486101,-2.460465,-1.344089,1.948156,12.817517,2.224417,0.000000,2.500000,-0.233059,0.180000
1.400000,0.411514,0.524304,-2.484808,-1.091447,1.866809,12.446944,1.927985,0.000000,2.500000,-0.237588,0.180000
1.420000,0.422367,0.560584,-2.504171,-0.846162,1.757069,12.083693,1.607246,0.000000,2.500000,-0.241090,0.180000
1.440000,0.433922,0.594440,-2.518701,-0.607978,1.625375,11.738562,1.267928,0.000000,2.500000,-0.243659,0.180000
1.460000,0.446126,0.625493,-2.528535,-0.376432,1.477634,11.421560,0.916061,0.000000,2.500000,-0.245368,0.180000
1.480000,0.458921,0.653474,-2.533798,-0.150869,1.319132,11.141614,0.557852,0.000000,2.500000,-0.246273,0.180000
1.500000,0.472243,0.678217,-2.534604,0.069531,1.154479,10.906408,0.199569,0.000000,2.500000,-0.246411,0.180000
1.520000,0.486027,0.699638,-2.531045,0.285729,0.987565,10.722295,-0.152588,0.000000,2.500000,-0.245800,0.180000
1.540000,0.500207,0.717726,-2.523196,0.498797,0.821523,10.594221,-0.492602,0.000000,2.500000,-0.244443,0.180000
1.560000,0.514715,0.732521,-2.511106,0.709895,0.658691,10.525691,-0.814754,0.000000,2.500000,-0.242322,0.180000
1.580000,0.529486,0.744105,-2.494805,0.920235,0.500570,10.518713,-1.113733,0.000000,2.500000,-0.239407,0.180000
1.600000,0.544458,0.752580,-2.474294,1.131058,0.347779,10.573765,-1.384735,0.000000,2.500000,-0.235649,0.180000
1.620000,0.559569,0.758050,-2.449551,1.343593,0.200012,10.689768,-1.623546,0.000000,2.500000,-0.230983,0.180000
1.640000,0.574761,0.760605,-2.420531,1.559037,0.056004,10.864094,-1.826622,0.000000,2.500000,-0.225332,0.180000
1.660000,0.589974,0.760300,-2.387163,1.778519,-0.086486,11.092648,-1.991149,0.000000,2.500000,-0.218599,0.180000
1.680000,0.605154,0.757135,-2.349356,2.003069,-0.230651,11.370025,-2.115089,0.000000,2.500000,-0.210676,0.180000
1.700000,0.620240,0.751035,-2.307000,2.233602,-0.380582,11.689803,-2.197210,0.000000,2.500000,-0.201444,0.180000
1.720000,0.635174,0.741841,-2.259967,2.470897,-0.541150,12.044974,-2.237105,0.000000,2.500000,-0.190769,0.180000
1.740000,0.649891,0.729283,-2.208115,2.715590,-0.717831,12.428501,-2.235187,0.000000,2.500000,-0.178513,0.180000
1.760000,0.664321,0.712982,-2.151291,2.968185,-0.916464,12.834028,-2.192673,0.000000,2.500000,-0.164531,0.180000
1.780000,0.678382,0.692438,-2.089332,3.229065,-1.142953,13.256626,-2.111553,0.000000,2.500000,-0.148683,0.180000
1.800000,0.691986,0.667039,-2.022071,3.498541,-1.402926,13.693512,-1.994543,0.000000,2.500000,-0.130834,0.180000
1.820000,0.705027,0.636065,-1.949331,3.776899,-1.701349,14.144619,-1.845023,0.000000,2.500000,-0.110868,0.180000
1.840000,0.717386,0.598705,-1.870933,4.064443,-2.042094,14.612844,-1.666966,0.000000,2.500000,-0.088695,0.180000
1.860000,0.728927,0.554081,-1.786690,4.361564,-2.427474,15.103750,-1.464856,0.000000,2.500000,-0.064266,0.180000
1.880000,0.739495,0.501304,-1.696404,4.668791,-2.857654,15.624525,-1.243591,0.000000,2.500000,-0.037583,0.180000
1.900000,0.748919,0.439498,-1.599866,4.986785,-3.329817,16.181784,-1.008391,0.000000,2.500000,-0.008720,0.180000
1.920000,0.757009,0.367877,-1.496855,5.316324,-3.836936,16.777740,-0.764686,0.000000,2.500000,0.022162,0.180000
1.940000,0.763564,0.285872,-1.387132,5.658106,-4.365717,17.403888,-0.518016,0.000000,2.500000,0.054790,0.180000
1.960000,0.768374,0.193260,-1.270448,6.012470,-4.893489,18.030991,-0.273915,0.000000,2.500000,0.088756,0.180000
1.980000,0.771226,0.090374,-1.146551,6.378943,-5.383633,18.594036,-0.037812,0.000000,2.500000,0.123490,0.180000
2.000000,0.771928,-0.021465,-1.015224,6.755031,-5.778764,18.970759,0.185082,0.000000,2.500000,0.158229,0.180000
2.020000,0.770325,-0.139581,-0.876322,7.135177,-5.994215,18.956827,0.389864,0.000000,2.500000,0.191994,0.180000
2.040000,0.766334,-0.259270,-0.729860,7.508690,-5.914219,18.247741,0.572040,0.000000,2.500000,0.223580,0.180000
2.060000,0.759992,-0.373264,-0.576135,7.857875,-5.401597,16.456667,0.727602,0.000000,2.500000,0.251572,0.180000
2.080000,0.751507,-0.471624,-0.415876,8.157240,-4.335169,13.214675,0.853106,0.000000,2.500000,0.274429,0.180000
2.100000,0.741309,-0.542717,-0.250385,8.375737,-2.682034,8.381818,0.945732,0.000000,2.500000,0.290645,0.180000
2.120000,0.730053,-0.575844,-0.081584,8.483988,-0.576433,2.289941,1.003334,0.000000,2.500000,0.299002,0.180000
2.140000,0.718571,-0.564822,0.088119,8.464563,1.669821,-4.211120,1.024478,0.000000,2.500000,0.298836,0.180000
2.160000,0.707749,-0.510669,0.256159,8.319887,3.677058,-10.071012,1.008464,0.000000,2.500000,0.290211,0.180000
2.180000,0.698380,-0.421263,0.420219,8.071224,5.162797,-14.526206,0.955333,0.000000,2.500000,0.273900,0.180000
2.200000,0.691055,-0.308310,0.578523,7.749777,6.030874,-17.355779,0.865867,0.000000,2.500000,0.251181,0.180000
2.220000,0.686124,-0.183758,0.729932,7.386404,6.341684,-18.779071,0.741561,0.000000,2.500000,0.223566,0.180000
2.240000,0.683716,-0.057470,0.873863,7.005289,6.228425,-19.200469,0.584599,0.000000,2.500000,0.192561,0.180000
2.260000,0.683789,0.063481,1.010134,6.622420,5.829403,-19.013147,0.397802,0.000000,2.500000,0.159524,0.180000
2.280000,0.686189,0.174554,1.138809,6.246806,5.256635,-18.516063,0.184576,0.000000,2.500000,0.125603,0.180000
2.300000,0.690688,0.273128,1.260082,5.882511,4.590117,-17.906048,-0.051163,0.000000,2.500000,0.091722,0.180000
2.320000,0.697022,0.357892,1.374192,5.530535,3.883196,-17.299266,-0.305058,0.000000,2.500000,0.058602,0.180000
2.340000,0.704909,0.428416,1.481381,5.190112,3.170152,-16.756489,-0.572402,0.000000,2.500000,0.026789,0.180000
2.360000,0.714064,0.484809,1.581863,4.859663,2.472843,-16.303388,-0.848228,0.000000,2.500000,-0.003320,0.180000
2.380000,0.724210,0.527529,1.675821,4.537343,1.805345,-15.944480,-1.127402,0.000000,2.500000,-0.031450,0.180000
2.400000,0.735079,0.557281,1.763399,4.221310,1.176922,-15.672213,-1.404722,0.000000,2.500000,-0.057424,0.180000
2.420000,0.746420,0.574911,1.844705,3.909967,0.593905,-15.472740,-1.675021,0.000000,2.500000,-0.081149,0.180000
2.440000,0.758001,0.581370,1.919820,3.602024,0.060681,-15.329623,-1.933257,0.000000,2.500000,-0.102594,0.180000
2.460000,0.769607,0.577687,1.988802,3.296512,-0.419797,-15.226288,-2.174614,0.000000,2.500000,-0.121782,0.180000
2.480000,0.781048,0.564942,2.051692,2.992808,-0.845741,-15.147625,-2.394589,0.000000,2.500000,-0.138772,0.180000
2.500000,0.792152,0.544229,2.108523,2.690537,-1.216458,-15.081026,-2.589078,0.000000,2.500000,-0.153656,0.180000
2.520000,0.802771,0.516650,2.159323,2.389552,-1.532234,-15.016934,-2.754448,0.000000,2.500000,-0.166541,0.180000
2.540000,0.812779,0.483297,2.204115,2.089879,-1.794232,-14.948992,-2.887606,0.000000,2.500000,-0.177547,0.180000
2.560000,0.822072,0.445227,2.242927,1.791640,-2.004362,-14.873862,-2.986059,0.000000,2.500000,-0.186796,0.180000
2.580000,0.830564,0.403452,2.275791,1.494983,-2.165104,-14.790826,-3.047949,0.000000,2.500000,-0.194409,0.180000
2.600000,0.838191,0.358933,2.302738,1.200052,-2.279290,-14.701214,-3.072095,0.000000,2.500000,-0.200495,0.180000
